all time stamps are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred
,C1,B2,A1,A2,B3,D1,Y,B1(MV),C2(MV),D3,D2,Z
82,115.152214,10531.60254,210.089935,1734.410645,0.80032,0.469125,3.497014,58.40625,62.375,52.066151,85.867645,1560.519165
83,115.045334,10531.84668,210.267853,1735.349854,0.799121,0.467542,3.498145,58.40625,62.375,52.073856,85.863457,1559.811035
84,115.045212,10532.36328,210.148666,1735.562622,0.801138,0.46742,3.500689,58.40625,62.375,52.080631,85.937302,1564.161987
85,115.058006,10532.75293,210.173645,1735.665894,0.804474,0.467891,3.500412,58.40625,62.375,52.064262,85.813202,1563.388428
86,115.149628,10533.01367,209.995865,1735.082642,0.802817,0.468705,3.502501,58.40625,62.375,52.063545,85.923416,1560.034424
87,114.575043,10532.15723,210.180923,1735.684814,0.799418,0.468532,3.499505,58.40625,62.375,52.061977,85.717178,1561.854858
88,114.943741,10532.70508,209.998352,1734.380615,0.800788,0.468999,3.492195,58.40625,62.375,52.065094,85.703217,1557.459717
89,114.99839,10529.08398,210.022675,1734.708496,0.800581,0.468335,3.497656,58.40625,62.375,52.06036,85.773834,1561.311035
90,115.182396,10528.42773,210.135193,1735.907471,0.800969,0.467712,3.493463,58.40625,62.375,52.055851,85.718575,1558.317627
91,114.876999,10530.79883,210.067459,1734.802612,0.801063,0.4679,3.495772,58.40625,62.375,52.050987,85.736214,1561.349487
92,114.823509,10531.79981,210.095963,1736.037231,0.804503,0.468336,3.498124,58.40625,62.375,52.048237,85.792648,1558.56311
93,114.988945,10531.34082,210.015015,1735.975952,0.800005,0.469132,3.498903,58.40625,62.375,52.062889,85.807838,1561.247559
94,115.230759,10527.42871,210.06604,1735.586914,0.803008,0.467082,3.501292,58.40625,62.375,52.068092,85.792633,1561.862915
95,115.070168,10526.52246,210.093689,1735.137817,0.802577,0.468125,3.498446,58.40625,62.375,52.074799,85.791756,1562.424194
96,115.221901,10526.2959,210.276321,1735.030151,0.801311,0.467082,3.496337,58.40625,62.375,52.090206,85.792923,1563.841431
97,114.79718,10527.37988,210.015076,1734.75708,0.799574,0.465827,3.495209,58.40625,62.375,52.096577,85.806976,1560.852051
98,115.323395,10525.85547,210.096634,1735.096191,0.802997,0.466366,3.496896,58.40625,62.375,52.106155,85.865593,1564.308838
99,115.038544,10531.03516,210.052338,1734.42334,0.79872,0.466337,3.499961,58.40625,62.375,52.126354,85.872498,1563.427002
